ord;;;City;;;FAA;;;IATA;;;ICAO;;;Airport;;;Role;;;Enplanements;;;State;;;Lat;;;Lng
239;;;New York;;;LGA;;;LGA;;;KLGA;;;LaGuardia Airport (and Marine Air Terminal);;;P-L;;;13353365;;;NEW YORK;;;40.777245;;;-73.872608
283;;;Philadelphia;;;PHL;;;PHL;;;KPHL;;;Philadelphia International Airport;;;P-L;;;14705014;;;PENNSYLVANIA;;;39.871944;;;-75.241139
351;;;Seattle / Tacoma(SeaTac);;;SEA;;;SEA;;;KSEA;;;Seattle–Tacoma International Airport;;;P-L;;;15406243;;;WASHINGTON;;;47.449;;;-122.309306
167;;;Boston;;;BOS;;;BOS;;;KBOS;;;Gen. Edward Lawrence Logan International Airport;;;P-L;;;15425869;;;MASSACHUSETTS;;;42.364347;;;-71.005181
174;;;Detroit / Romulus;;;DTW;;;DTW;;;KDTW;;;Detroit Metropolitan Wayne County Airport;;;P-L;;;15683787;;;MICHIGAN;;;42.212444;;;-83.353389
91;;;Miami;;;MIA;;;MIA;;;KMIA;;;Miami International Airport;;;P-L;;;16194277;;;FLORIDA;;;25.79325;;;-80.290556
193;;;Minneapolis;;;MSP;;;MSP;;;KMSP;;;Minneapolis–St. Paul International Airport(Wold–Chamberlain Field);;;P-L;;;16282038;;;MINNESOTA;;;44.881956;;;-93.221767
226;;;Newark;;;EWR;;;EWR;;;KEWR;;;Newark Liberty International Airport;;;P-L;;;17514139;;;NEW JERSEY;;;40.6925;;;-74.168667
92;;;Orlando;;;MCO;;;MCO;;;KMCO;;;Orlando International Airport;;;P-L;;;17614745;;;FLORIDA;;;28.429394;;;-81.308994
319;;;Houston;;;IAH;;;IAH;;;KIAH;;;George Bush Intercontinental Airport;;;P-L;;;19528631;;;TEXAS;;;29.984433;;;-95.341442
219;;;Las Vegas;;;LAS;;;LAS;;;KLAS;;;McCarran International Airport;;;P-L;;;19923594;;;NEVADA;;;36.080056;;;-115.15225
248;;;Charlotte;;;CLT;;;CLT;;;KCLT;;;Charlotte/Douglas International Airport;;;P-L;;;21347428;;;NORTH CAROLINA;;;35.214;;;-80.943139
